season,week,manager,pts,R,RBI,SB,BB,HBP,1B,2B,3B,HR,TB
2021,21,Rich,161,34,22,1,14,5,0,0,0,0,75
2021,21,Rouse,204,38,28,4,23,4,0,0,0,0,101
2021,21,Dave,213,31,39,1,25,1,0,0,0,0,116
2021,22,Boyce,278.5,40,51,3,26,2,0,0,0,0,150
2021,22,Ulmer,268.5,50,40,0,32,2,0,0,0,0,138
2021,22,Garth,234.5,43,35,1,21,3,0,0,0,0,127
2021,22,Chris,251,45,35,3,41,5,0,0,0,0,121
2021,22,Andy,289,59,39,8,39,6,0,0,0,0,109
2021,22,Sam,209,33,31,7,21,4,0,0,0,0,107
2021,22,Howard,252.5,44,39,3,32,1,0,0,0,0,125
2021,22,Rich,133.5,22,22,5,9,3,0,0,0,0,59
2021,22,Rouse,274,51,36,6,30,5,0,0,0,0,141
2021,22,Dave,207,32,32,2,18,2,0,0,0,0,129
2021,23,Boyce,200.5,35,28,3,28,2,0,0,0,0,106
2021,23,Ulmer,265.5,45,45,1,26,3,0,0,0,0,138
2021,23,Garth,247.5,39,44,5,28,4,0,0,0,0,110
2021,23,Chris,164.5,22,29,3,27,0,0,0,0,0,82
2021,23,Andy,237,39,38,3,27,2,0,0,0,0,123
2021,23,Sam,251,50,33,4,32,5,0,0,0,0,115
2021,23,Howard,258.5,44,38,4,23,3,0,0,0,0,145
2021,23,Rich,126,19,19,3,22,1,0,0,0,0,62
2021,23,Rouse,182.5,41,16,0,27,1,0,0,0,0,107
2021,23,Dave,215,34,34,6,20,4,0,0,0,0,110
2021,24,Boyce,245.5,37,38,5,45,4,0,0,0,0,115
2021,24,Ulmer,211.5,38,29,5,18,1,0,0,0,0,116
2021,24,Garth,196,34,31,1,24,1,0,0,0,0,99
2021,24,Chris,229.5,41,33,2,37,3,0,0,0,0,111
2021,24,Andy,202,31,35,5,27,2,0,0,0,0,90
2021,24,Sam,336,51,61,4,31,6,0,0,0,0,167
2021,24,Howard,218,40,34,0,25,6,0,0,0,0,108
2021,24,Rich,152,22,26,3,19,3,0,0,0,0,74
2021,24,Rouse,286,50,42,5,33,1,0,0,0,0,146
2021,24,Dave,241.5,35,45,3,23,6,0,0,0,0,121
2022,1,Boyce,403,69,65,7,45,9,0,0,0,0,187
2022,1,Ulmer,358.5,57,58,4,30,8,0,0,0,0,200
2022,1,Garth,333.5,52,61,3,35,6,0,0,0,0,162
2022,1,Chris,306.5,49,45,5,50,4,0,0,0,0,145
2022,1,Andy,334.5,55,59,4,38,7,0,0,0,0,151
2022,1,Sam,294,50,45,5,47,9,0,0,0,0,131
2022,1,Howard,269.5,37,49,7,30,5,0,0,0,0,131
2022,1,Rich,314.5,51,42,11,56,2,0,0,0,0,151
2022,1,Rouse,326,52,49,4,44,7,0,0,0,0,179
2022,1,Dave,256,45,38,4,36,1,0,0,0,0,126
2022,2,Boyce,156,23,26,2,26,1,0,0,0,0,80
2022,2,Ulmer,232,38,37,4,23,1,0,0,0,0,124
2022,2,Garth,150.5,28,21,1,20,3,0,0,0,0,75
2022,2,Chris,134.5,21,19,3,23,4,0,0,0,0,69
2022,2,Andy,190,28,33,7,18,2,0,0,0,0,88
2022,2,Sam,179,25,30,2,27,2,0,0,0,0,100
2022,2,Howard,199,32,27,8,25,5,0,0,0,0,98
2022,2,Rich,186.5,29,31,7,31,2,0,0,0,0,72
2022,2,Rouse,235,34,40,7,22,5,0,0,0,0,119
2022,2,Dave,197.5,30,37,3,20,5,0,0,0,0,90
2022,3,Boyce,251.5,41,42,5,33,3,0,0,0,0,113
2022,3,Ulmer,221,34,38,4,15,2,0,0,0,0,118
2022,3,Garth,190.5,31,31,4,27,2,0,0,0,0,86
2022,3,Chris,257,46,37,12,34,4,0,0,0,0,96
2022,3,Andy,240,39,39,5,33,5,0,0,0,0,109
2022,3,Sam,197,29,40,1,26,3,0,0,0,0,83
2022,3,Howard,226,44,29,6,22,4,0,0,0,0,110
2022,3,Rich,174,21,32,1,20,2,0,0,0,0,108
2022,3,Rouse,158.5,34,17,3,18,3,0,0,0,0,80
2022,3,Dave,170.5,27,24,3,42,2,0,0,0,0,79
2022,4,Boyce,238.5,40,38,2,36,6,0,0,0,0,114
2022,4,Ulmer,202,34,25,4,25,6,0,0,0,0,120
2022,4,Garth,208,33,39,0,22,0,0,0,0,0,106
2022,4,Chris,156.5,26,22,4,19,0,0,0,0,0,86
2022,4,Andy,165.5,29,23,3,23,0,0,0,0,0,88
2022,4,Sam,160.5,24,27,0,28,3,0,0,0,0,86
2022,4,Howard,205,30,33,5,28,1,0,0,0,0,106
2022,4,Rich,217,34,40,2,26,1,0,0,0,0,103
2022,4,Rouse,183.5,31,26,3,23,4,0,0,0,0,100
2022,4,Dave,180.5,29,27,3,21,1,0,0,0,0,102
2022,5,Boyce,266,39,47,5,33,3,0,0,0,0,129
2022,5,Ulmer,247,49,35,3,20,4,0,0,0,0,122
2022,5,Garth,303.5,47,52,6,23,2,0,0,0,0,160
2022,5,Chris,211.5,37,34,3,22,0,0,0,0,0,105
2022,5,Andy,196,30,31,7,23,4,0,0,0,0,93
2022,5,Sam,242.5,50,36,5,18,2,0,0,0,0,101
2022,5,Howard,228,32,40,6,24,2,0,0,0,0,115
2022,5,Rich,190.5,33,32,1,17,1,0,0,0,0,99
2022,5,Rouse,160,32,14,6,27,2,0,0,0,0,82
2022,5,Dave,195.5,35,31,3,34,3,0,0,0,0,77
2022,6,Boyce,215,36,34,6,24,3,0,0,0,0,99
2022,6,Ulmer,275.5,51,36,6,27,5,0,0,0,0,143
2022,6,Garth,178,24,31,3,17,3,0,0,0,0,102
2022,6,Chris,222,31,39,7,23,3,0,0,0,0,110
2022,6,Andy,216.5,42,31,0,25,1,0,0,0,0,113
2022,6,Sam,193,33,25,5,27,3,0,0,0,0,104
2022,6,Howard,254,38,41,10,20,4,0,0,0,0,126
2022,6,Rich,149,17,29,2,19,4,0,0,0,0,83
2022,6,Rouse,235.5,37,38,7,26,3,0,0,0,0,110
2022,6,Dave,175,25,29,3,27,4,0,0,0,0,91
2022,7,Boyce,245,44,41,2,26,5,0,0,0,0,108
2022,7,Ulmer,214,41,30,2,20,4,0,0,0,0,109
2022,7,Garth,245,41,38,4,28,8,0,0,0,0,119
2022,7,Chris,236.5,48,32,2,30,0,0,0,0,0,115
2022,7,Andy,298,46,51,9,34,4,0,0,0,0,132
2022,7,Sam,189.5,27,35,1,20,1,0,0,0,0,106
2022,7,Howard,233,35,35,9,28,1,0,0,0,0,120
2022,7,Rich,98,15,13,0,23,1,0,0,0,0,58
2022,7,Rouse,223.5,35,34,9,19,1,0,0,0,0,114
2022,7,Dave,212,26,45,2,21,2,0,0,0,0,109
2022,8,Boyce,196,30,34,1,28,7,0,0,0,0,96
2022,8,Ulmer,276.5,45,47,5,26,6,0,0,0,0,132
2022,8,Garth,188.5,33,29,2,23,6,0,0,0,0,89
2022,8,Chris,239.5,43,33,8,27,2,0,0,0,0,113
2022,8,Andy,276.5,47,40,5,41,2,0,0,0,0,138
2022,8,Sam,280,55,44,3,23,3,0,0,0,0,125
2022,8,Howard,292.5,45,52,6,31,6,0,0,0,0,134
2022,8,Rich,154.5,17,31,5,17,2,0,0,0,0,78
2022,8,Rouse,220,36,27,8,29,1,0,0,0,0,124
2022,8,Dave,261.5,41,43,4,31,5,0,0,0,0,133
2022,9,Boyce,221,29,37,7,27,6,0,0,0,0,116
2022,9,Ulmer,253,42,43,1,24,5,0,0,0,0,130
2022,9,Garth,245,35,39,6,27,5,0,0,0,0,136
2022,9,Chris,265,43,44,5,28,2,0,0,0,0,132
2022,9,Andy,244.5,35,40,10,24,0,0,0,0,0,122
